Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
417,55743842,647,246.69,30351.0,22.19
418,55912017,414,93.93,30429.0,22.19
419,55912393,719,344.94,30448.0,22.19
420,56250393,647,246.69,30599.0,22.19
421,56294273,792,615.27,30635.0,22.19
422,56317189,639,249.88,30665.0,22.19
423,56540338,78,19.92,30766.0,22.19
424,56646857,177,30.25,30818.0,22.19
425,56767257,39,13.53,30885.0,22.19
426,56875033,31,12.01,30949.0,22.19
427,56942699,76,19.69,30995.0,22.19
428,57477971,696,307.73,31228.0,22.19
429,57519254,145,25.96,31268.0,22.19
430,57665880,652,262.1,31337.0,22.19
431,57845506,655,252.34,31435.0,22.19
432,58040150,639,249.88,31539.0,22.19
433,58167400,188,32.01,31604.0,22.19
434,58294930,335,61.77,31684.0,22.19
435,59277679,83,20.46,32102.0,22.19
436,59283728,62,17.75,32125.0,22.19
437,59311321,408,90.57,32156.0,22.19
438,59335136,711,380.66,32185.0,22.19
439,59482623,271,46.93,32264.0,22.19
440,59706050,57,16.93,32377.0,22.19
441,59755244,271,46.93,32413.0,22.19
442,59824019,504,143.61,32475.0,22.19
443,59953438,152,26.78,32550.0,22.19
444,59961596,252,43.42,32573.0,22.19
445,60155295,368,72.93,32677.0,22.19
446,60340066,83,20.46,32780.0,22.19
447,60687056,240,41.21,32959.0,22.19
448,60904582,391,82.35,33070.0,22.19
449,60961997,376,76.43,33105.0,22.19
450,61189243,201,34.22,33232.0,22.19
451,62087395,246,42.3,33646.0,22.19
452,62212061,231,39.55,33699.0,22.19
453,62494034,625,226.08,33811.0,22.19
454,62741846,639,249.88,33915.0,22.19
455,62813781,664,270.86,33961.0,22.19
456,62930149,384,80.08,34026.0,22.19
457,62969178,307,54.48,34065.0,22.19
458,62969912,412,92.93,34081.0,22.19
459,63084345,102,22.15,34139.0,22.19
460,63207617,545,167.38,34204.0,22.19
461,63358397,472,125.87,34282.0,22.19
462,63395913,524,150.73,34310.0,22.19
463,63557052,620,217.12,34406.0,22.19
464,63749586,268,46.26,34497.0,22.19
465,63864576,255,43.96,34566.0,22.19
466,63952168,318,57.28,34616.0,22.19
467,64165688,89,21.05,34719.0,22.19
468,64170004,127,24.18,34736.0,22.19
469,64294956,540,166.11,34811.0,22.19
470,64311446,760,464.8,34839.0,22.19
471,64657795,524,150.73,34990.0,22.19
472,64701624,696,307.73,35035.0,22.19
473,64780534,696,307.73,35088.0,22.19
474,64841666,627,249.17,35125.0,22.19
475,64952124,583,201.26,35191.0,22.19
476,65024437,671,277.06,35240.0,22.19
477,65180861,483,132.6,35318.0,22.19
478,65372770,318,57.28,35425.0,22.19
479,65476663,248,42.69,35479.0,22.19
480,65677832,355,68.3,35559.0,22.19
481,66281575,723,388.29,35833.0,22.19
482,66521644,624,242.54,35947.0,22.19
483,66625038,65,18.22,35988.0,22.19
484,66713160,304,53.73,36029.0,22.19
485,67021964,608,202.86,36165.0,22.19
486,67113062,414,93.93,36217.0,22.19
487,67153780,344,64.67,36251.0,22.19
488,67178274,632,232.56,36282.0,22.19
489,67232039,556,174.47,36312.0,22.19
490,67251404,600,203.87,36336.0,22.19
491,67543034,192,32.67,36475.0,22.19
492,67554434,615,227.36,36498.0,22.19
493,67629799,681,309.95,36599.0,22.19
494,67687374,719,344.94,36636.0,22.19
495,67760581,719,344.94,36685.0,22.19
496,67869908,71,19.06,36737.0,22.19
497,67910235,31,12.01,36765.0,22.19
498,67992285,527,155.96,36808.0,22.19
499,68015907,688,328.69,36829.0,22.19
500,68103554,120,23.58,36881.0,22.19
501,68332603,654,259.18,37000.0,22.19
502,68462972,263,45.37,37075.0,22.19
503,69005006,508,144.95,37314.0,22.19
504,69177931,127,24.18,37392.0,22.19
505,69215699,318,57.28,37427.0,22.19
506,69456792,231,39.55,37545.0,22.19
507,69557234,287,50.23,37608.0,22.19
508,69632658,551,164.56,37649.0,22.19
509,69654003,627,249.17,37675.0,22.19
510,70119375,696,307.73,37873.0,22.19
511,70449378,103,22.23,38034.0,22.19
512,70450303,120,23.58,38049.0,22.19
513,70617812,323,58.48,38130.0,22.19
514,70695962,440,109.25,38165.0,22.19
515,70717131,227,38.83,38191.0,22.19
516,70896998,199,33.86,38288.0,22.19
517,70899066,608,202.86,38304.0,22.19
518,71173384,209,35.61,38431.0,22.19
519,71361443,515,147.53,38510.0,22.19
520,71421633,608,202.86,38549.0,22.19
521,71459426,96,21.67,38585.0,22.19
522,71568832,368,72.93,38636.0,22.19
523,71578149,455,117.03,38656.0,22.19
524,71638289,326,59.13,38702.0,22.19
525,71783046,38,13.33,38768.0,22.19
526,71786596,312,55.68,38784.0,22.19
527,72316940,108,22.63,39037.0,22.19
528,72521483,355,68.3,39145.0,22.19
529,72571953,271,46.93,39176.0,22.19
530,72616388,83,20.46,39206.0,22.19
531,72650649,318,57.28,39235.0,22.19
532,72754512,639,249.88,39287.0,22.19
533,72801172,31,12.01,39323.0,22.19
534,72853967,432,101.61,39360.0,22.19
535,73268942,688,328.69,39531.0,22.19
536,73318377,668,291.28,39558.0,22.19
537,73412787,56,16.76,39616.0,22.19
538,73434008,638,261.42,39640.0,22.19
539,73687002,636,231.85,39789.0,22.19
540,73726541,415,95.0,39828.0,22.19
541,73804548,399,87.3,39880.0,22.19
542,73905692,440,109.25,39944.0,22.19
543,74135451,487,132.65,40061.0,22.19
544,74155932,448,112.41,40085.0,22.19
545,74239837,655,252.34,40139.0,22.19
546,74416711,440,109.25,40225.0,22.19
547,74435163,519,154.3,40244.0,22.19
548,74484625,652,262.1,40279.0,22.19
549,74509982,632,232.56,40308.0,22.19
550,74667147,376,76.43,40392.0,22.19
551,74903353,440,109.25,40511.0,22.19
552,74953560,199,33.86,40545.0,22.19
553,75006279,291,50.97,40597.0,22.19
554,75210671,384,80.08,40688.0,22.19
555,75395144,78,19.92,40799.0,22.19
556,75859116,103,22.23,40981.0,22.19
557,76143262,646,271.78,41131.0,22.19
558,76313773,323,58.48,41215.0,22.19
559,76376539,478,129.43,41261.0,22.19
560,76620105,384,80.08,41378.0,22.19
561,76817133,344,64.67,41485.0,22.19
562,76913625,376,76.43,41539.0,22.19
563,77044598,620,217.12,41612.0,22.19
564,77359496,707,320.63,41749.0,22.19
565,77364328,622,244.71,41766.0,22.19
566,77832788,671,277.06,41985.0,22.19
567,78559012,390,82.7,42318.0,22.19
568,78559777,94,21.5,42334.0,22.19
569,78621191,560,175.34,42386.0,22.19
570,78732521,529,156.43,42443.0,22.19
571,78737188,588,183.26,42459.0,22.19
572,78768966,115,23.18,42493.0,22.19
573,78776512,536,160.18,42512.0,22.19
574,79064931,768,471.89,42629.0,22.19
575,79067408,643,246.01,42647.0,22.19
576,79144960,719,344.94,42700.0,22.19
577,79288662,604,210.97,42769.0,22.19
578,79353813,263,45.37,42805.0,22.19
579,79387246,799,620.61,42832.0,22.19
580,79532419,428,101.58,42912.0,22.19
581,79694269,33,12.37,42991.0,22.19
582,79728101,737,467.99,43031.0,22.19
583,79737626,387,81.05,43051.0,22.19
584,79897960,673,288.87,43136.0,22.19
585,80139932,108,22.63,43244.0,22.19
586,80187403,159,27.66,43280.0,22.19
587,80273856,444,109.09,43334.0,22.19
588,80560396,271,46.93,43460.0,22.19
589,80717293,291,50.97,43532.0,22.19
590,80783691,646,271.78,43570.0,22.19
591,80878901,455,117.03,43621.0,22.19
592,81220995,391,82.35,43756.0,22.19
593,81390256,159,27.66,43844.0,22.19
594,81427481,736,412.77,43868.0,22.19
595,81478250,335,61.77,43902.0,22.19
596,81673947,675,317.99,43991.0,22.19
597,81820509,496,144.49,44077.0,22.19
598,81836180,463,119.23,44101.0,22.19
599,81854505,67,18.51,44126.0,22.19
600,82073866,624,242.54,44228.0,22.19
601,82134433,108,22.63,44275.0,22.19
602,82215997,352,66.89,44321.0,22.19
603,82475094,624,242.54,44434.0,22.19
604,82506163,579,187.32,44457.0,22.19
605,82941414,688,328.69,44665.0,22.19
606,83610815,638,261.42,44934.0,22.19
607,83703884,608,202.86,44984.0,22.19
608,83727191,728,431.28,45010.0,22.19
609,83739114,70,18.93,45032.0,22.19
610,83778379,659,253.36,45066.0,22.19
611,83876297,728,431.28,45133.0,22.19
612,84151061,423,97.36,45285.0,22.19
613,84470610,512,144.44,45421.0,22.19
614,84586100,527,155.96,45476.0,22.19
615,84658675,639,249.88,45518.0,22.19
616,84882615,432,101.61,45622.0,22.19
617,84953569,639,249.88,45675.0,22.19
618,85115172,176,30.09,45757.0,22.19
619,85275456,707,320.63,45830.0,22.19
620,85354678,583,201.26,45873.0,22.19
621,85715011,304,53.73,46036.0,22.19
622,85844163,608,202.86,46100.0,22.19
623,85854706,655,252.34,46120.0,22.19
624,85976971,622,244.71,46198.0,22.19
625,86018333,248,42.69,46230.0,22.19
626,86068100,647,246.69,46265.0,22.19
627,86252286,318,57.28,46342.0,22.19
628,86451510,572,183.73,46433.0,22.19
629,86497725,344,64.67,46463.0,22.19
630,86670453,302,53.3,46537.0,22.19
631,86749561,176,30.09,46586.0,22.19
632,87019804,668,291.28,46720.0,22.19
